"chr","start","end","logFC","FDR","fold_change","annotation","SYMBOL","GENENAME","direction","Category"
"chr11",63952001,63952500,6.70293854578767,0.00101468957601916,104.180289846067,"Promoter (<=1kb)","NAA40","N-alpha-acetyltransferase 40, NatD catalytic subunit","Hypermethylated","Top_Promoter_DMRs"
"chr17",3831001,3831500,6.70293854578767,0.00101468957601916,104.180289846067,"Promoter (1-2kb)","NCBP3","nuclear cap binding subunit 3","Hypermethylated","Top_Promoter_DMRs"
"chr19",40238001,40238500,6.70293854578767,0.00101468957601916,104.180289846067,"Promoter (<=1kb)","AKT2","AKT serine/threonine kinase 2","Hypermethylated","Top_Promoter_DMRs"
"chr7",139357501,139358000,6.70291938240877,0.00101468957601916,104.178906024086,"Promoter (1-2kb)","LUC7L2","LUC7 like 2, pre-mRNA splicing factor","Hypermethylated","Top_Promoter_DMRs"
"chr16",67027501,67028000,6.70291938240877,0.00101468957601916,104.178906024086,"Promoter (<=1kb)","CBFB","core-binding factor subunit beta","Hypermethylated","Top_Promoter_DMRs"
"chr17",18365501,18366000,6.70291938240877,0.00101468957601916,104.178906024086,"Promoter (1-2kb)","SHMT1","serine hydroxymethyltransferase 1","Hypermethylated","Top_Promoter_DMRs"
"chr2",24361001,24361500,6.69735544946591,0.00177350411379208,103.777900869966,"Promoter (<=1kb)","ITSN2","intersectin 2","Hypermethylated","Top_Promoter_DMRs"
"chr9",128632501,128633000,6.67633161957161,0.00463477352276966,102.276552011767,"Promoter (<=1kb)","SPTAN1","spectrin alpha, non-erythrocytic 1","Hypermethylated","Top_Promoter_DMRs"
"chr16",88380501,88381000,6.67450812160308,0.0109389188331724,102.147360973517,"Promoter (1-2kb)","ZNF469","zinc finger protein 469","Hypermethylated","Top_Promoter_DMRs"
"chr16",46391001,46391500,-3.19367095663916,1.99852038894364e-47,0.109297252731921,"Distal Intergenic","ANKRD26P1","ankyrin repeat domain 26 pseudogene 1","Hypomethylated","Most_Significant"
"chr17",26881001,26881500,-2.09336620477692,2.5847266090834e-25,0.234333284854221,"Distal Intergenic","LOC124903955","uncharacterized LOC124903955","Hypomethylated","Most_Significant"
"chr1",143214501,143215000,-1.54310470816479,2.28434243419196e-22,0.343146201986819,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr1",143263001,143263500,-3.29708873612439,1.95631771763168e-21,0.101736640406036,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr17",26881501,26882000,-2.28539954740743,3.10754905089827e-19,0.205128584966788,"Distal Intergenic","LOC124903955","uncharacterized LOC124903955","Hypomethylated","Most_Significant"
"chr1",143263501,143264000,-3.65822515749842,7.5179327011427e-18,0.0792071700144837,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr16",34586001,34586500,-2.31772693811597,7.5179327011427e-18,0.200583252803985,"Distal Intergenic","LOC124903767","putative uncharacterized protein MGC34800","Hypomethylated","Most_Significant"
"chr4",54101501,54102000,5.64578467639905,3.11111574344568e-14,50.0668809440785,"3' UTR","GSX2","GS homeobox 2","Hypermethylated","Most_Significant"
"chr1",125179501,125180000,-2.47156373651809,4.9542492789322e-14,0.18029562114875,"Distal Intergenic","EMBP1","embigin pseudogene 1","Hypomethylated","Most_Significant"
"chr8",57205501,57206000,4.86599342942773,6.91481643505062e-14,29.1615081676819,"Intron (ENST00000669200.1/100507651, intron 4 of 6)","LINC01606","long intergenic non-protein coding RNA 1606","Hypermethylated","Most_Significant"
"chr1",125182001,125182500,-3.22762112516515,3.55407750178278e-13,0.10675524625619,"Distal Intergenic","EMBP1","embigin pseudogene 1","Hypomethylated","Most_Significant"
"chr1",143252501,143253000,-2.54546608511936,4.14037163308416e-13,0.171292502969568,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr1",143213001,143213500,-2.16150984616035,1.5323630564295e-11,0.223522219085138,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr1",143253001,143253500,-2.0985198518893,4.22226740330332e-10,0.233497684435656,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr20",61920001,61920500,5.17698735041262,2.48608817672838e-09,36.1766609486988,"Intron (ENST00000614565.5/1002, intron 9 of 15)","MIR1257","microRNA 1257","Hypermethylated","Most_Significant"
"chr19",1624501,1625000,5.13529503675077,8.4069155455435e-09,35.1461568321566,"Intron (ENST00000262965.12/6929, intron 7 of 18)","TCF3","transcription factor 3","Hypermethylated","Most_Significant"
"chr7",128029001,128029500,5.21741598654176,9.22752106806439e-09,37.2047775159031,"Exon (ENST00000249363.4/64101, exon 2 of 2)","LRRC4","leucine rich repeat containing 4","Hypermethylated","Most_Significant"
"chr7",55078501,55079000,3.92800386451142,4.1834858532963e-08,15.2211331937261,"Intron (ENST00000344576.7/1956, intron 1 of 15)","EGFR","epidermal growth factor receptor","Hypermethylated","Most_Significant"
"chr7",55154001,55154500,5.26523706841291,5.02888650728106e-08,38.4586727217469,"Exon (ENST00000344576.7/1956, exon 7 of 16)","EGFR","epidermal growth factor receptor","Hypermethylated","Most_Significant"
"chr1",143220001,143220500,-1.63907442492963,5.95981719826128e-08,0.32106238903657,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr7",157558001,157558500,7.45215632133228,1.32343098053873e-07,175.114692194788,"Intron (ENST00000389413.7/5799, intron 20 of 21)","MIR153-2","microRNA 153-2","Hypermethylated","Most_Significant"
"chr4",54101001,54101500,2.97452165096413,1.35996752425832e-07,7.85995825910282,"Intron (ENST00000507166.5/5156, intron 12 of 23)","GSX2","GS homeobox 2","Hypermethylated","Most_Significant"
"chr7",55181001,55181500,4.29690511157906,1.44223072612842e-07,19.6560988307298,"Exon (ENST00000275493.7/1956, exon 20 of 28)","EGFR-AS1","EGFR antisense RNA 1","Hypermethylated","Most_Significant"
"chr1",8553001,8553500,7.42512428327679,2.44765610068447e-07,171.864085225272,"Intron (ENST00000337907.7/473, intron 7 of 23)","RERE","arginine-glutamic acid dipeptide repeats","Hypermethylated","Most_Significant"
"chr7",55078001,55078500,4.25521252038769,2.44765610068447e-07,19.0961847003379,"Intron (ENST00000344576.7/1956, intron 1 of 15)","EGFR","epidermal growth factor receptor","Hypermethylated","Most_Significant"
"chr7",157265501,157266000,2.68172144345257,4.92250318994408e-07,6.41621036491811,"Intron (ENST00000348165.10/9690, intron 22 of 22)","UBE3C","ubiquitin protein ligase E3C","Hypermethylated","Most_Significant"
"chr4",54232001,54232500,3.73355524419315,1.15359973470499e-06,13.3018522304332,"Intron (ENST00000507166.5/5156, intron 12 of 23)","PDGFRA","platelet derived growth factor receptor alpha","Hypermethylated","Most_Significant"
"chr16",47854001,47854500,3.71263565926422,1.15359973470499e-06,13.1103623901825,"Intron (ENST00000565451.5/101927132, intron 2 of 2)","LINC02133","long intergenic non-protein coding RNA 2133","Hypermethylated","Most_Significant"
"chr3",194352501,194353000,3.7923648366132,1.22495725647976e-06,13.8552884064396,"Promoter (1-2kb)","CPN2","carboxypeptidase N subunit 2","Hypermethylated","Most_Significant"
"chr1",143202501,143203000,-2.60198635539972,1.50442836637981e-06,0.164711551754515,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr1",143212501,143213000,-2.82862998266314,1.50442836637981e-06,0.140765921784939,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr4",1202001,1202500,7.25310605392623,2.24349635751805e-06,152.546582982121,"Promoter (<=1kb)","LOC100130872","uncharacterized LOC100130872","Hypermethylated","Most_Significant"
"chr7",151610001,151610500,4.05148770698183,2.24349635751805e-06,16.5813286328484,"Intron (ENST00000418337.6/51422, intron 1 of 11)","PRKAG2","protein kinase AMP-activated non-catalytic subunit gamma 2","Hypermethylated","Most_Significant"
"chr7",155946001,155946500,4.85661633431877,2.24349635751805e-06,28.9725815567758,"Distal Intergenic","LOC389602","uncharacterized LOC389602","Hypermethylated","Most_Significant"
"chr17",81416001,81416500,4.85677389002774,2.24349635751805e-06,28.9757458047746,"Intron (ENST00000675386.2/57597, intron 2 of 27)","MIR4740","microRNA 4740","Hypermethylated","Most_Significant"
"chr20",58196001,58196500,4.85677390328482,2.24349635751805e-06,28.9757460710358,"Distal Intergenic","ANKRD60","ankyrin repeat domain 60","Hypermethylated","Most_Significant"
"chr20",61919501,61920000,3.38118971831208,5.18057591940633e-06,10.4193235957874,"Intron (ENST00000614565.5/1002, intron 9 of 15)","MIR1257","microRNA 1257","Hypermethylated","Most_Significant"
"chr17",82750001,82750500,7.3178493832068,6.1694929203597e-06,159.548295218614,"Promoter (1-2kb)","TBCD","tubulin folding cofactor D","Hypermethylated","Most_Significant"
"chr20",61686501,61687000,7.3178491607659,6.1694929203597e-06,159.548270618776,"Intron (ENST00000614565.5/1002, intron 2 of 15)","LOC100128310","uncharacterized LOC100128310","Hypermethylated","Most_Significant"
"chr3",194328501,194329000,4.80440296098718,6.51705229928477e-06,27.9427665560812,"Distal Intergenic","LINC00887","long intergenic non-protein coding RNA 887","Hypermethylated","Most_Significant"
"chr5",14498001,14498500,7.19076947442109,7.28271711144918e-06,146.095656291669,"Promoter (<=1kb)","TRIO","trio Rho guanine nucleotide exchange factor","Hypermethylated","Most_Significant"
"chr7",140241001,140241500,3.62550176306341,7.35898422778699e-06,12.3419783433097,"Distal Intergenic","KDM7A-DT","KDM7A divergent transcript","Hypermethylated","Most_Significant"
"chr8",62144001,62144500,7.19067660791148,7.35898422778699e-06,146.086252393669,"Exon (ENST00000518921.1/ENST00000518921.1, exon 1 of 1)","NKAIN3","sodium/potassium transporting ATPase interacting 3","Hypermethylated","Most_Significant"
"chr10",79378501,79379000,3.62552061234635,7.35898422778699e-06,12.34213959635,"Distal Intergenic","PPIF","peptidylprolyl isomerase F","Hypermethylated","Most_Significant"
"chr17",80874501,80875000,2.95325554888955,7.35898422778699e-06,7.74494797946464,"Intron (ENST00000577161.5/57521, intron 13 of 21)","LOC124904076","uncharacterized LOC124904076","Hypermethylated","Most_Significant"
"chr21",42662501,42663000,5.15249151001183,7.35898422778699e-06,35.5675947334712,"Intron (ENST00000291539.11/5152, intron 1 of 19)","PDE9A","phosphodiesterase 9A","Hypermethylated","Most_Significant"
"chr7",55155501,55156000,3.09268431232493,9.58685271033092e-06,8.53081934539127,"Exon (ENST00000344576.7/1956, exon 8 of 16)","EGFR","epidermal growth factor receptor","Hypermethylated","Most_Significant"
"chr1",143246501,143247000,-3.47667517863504,9.85788050758539e-06,0.0898289836644044,"Distal Intergenic","LOC107985200","uncharacterized LOC107985200","Hypomethylated","Most_Significant"
"chr7",101916001,101916500,4.75028919754889,9.85788050758539e-06,26.9140798487359,"Exon (ENST00000437600.9/1523, exon 2 of 23)","CUX1","cut like homeobox 1","Hypermethylated","Most_Significant"
"chr7",156067001,156067500,7.33450653934219,9.85788050758539e-06,161.40109311872,"Distal Intergenic","LOC124901789","uncharacterized LOC124901789","Hypermethylated","Most_Significant"
